id,Country,indexreg,pop_2021,sdg1_wpc,sdg1_320pov,sdg1_oecdpov,sdg2_undernsh,sdg2_stunting,sdg2_wasting,sdg2_obesity,sdg2_trophic,sdg2_crlyld,sdg2_snmi,sdg2_yieldgap,sdg2_pestexp,sdg3_matmort,sdg3_neonat,sdg3_u5mort,sdg3_tb,sdg3_hiv,sdg3_ncds,sdg3_pollmort,sdg3_traffic,sdg3_lifee,sdg3_fertility,sdg3_births,sdg3_vac,sdg3_uhc,sdg3_swb,sdg3_region,sdg3_incomeg,sdg3_smoke,sdg4_earlyedu,sdg4_primary,sdg4_second,sdg4_literacy,sdg4_tertiary,sdg4_pisa,sdg4_socioec,sdg4_science,sdg5_familypl,sdg5_edat,sdg5_lfpr,sdg5_parl,sdg5_paygap,sdg6_water,sdg6_sanita,sdg6_freshwat,sdg6_wastewat,sdg6_scarcew,sdg6_safewat,sdg6_safesan,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_ren,sdg8_adjgrowth,sdg8_slavery,sdg8_accounts,sdg8_unemp,sdg8_rights,sdg8_impacc,sdg8_empop,sdg8_yneet,sdg9_intuse,sdg9_mobuse,sdg9_lpi,sdg9_uni,sdg9_articles,sdg9_rdex,sdg9_rdres,sdg9_patents,sdg9_netacc,sdg9_womensci,sdg10_gini,sdg10_palma,sdg10_elder,sdg11_slums,sdg11_pm25,sdg11_pipedwat,sdg11_transport,sdg11_rentover,sdg12_msw,sdg12_ewaste,sdg12_so2prod,sdg12_so2import,sdg12_nprod,sdg12_nimport,sdg12_explastic,sdg12_mswrecycl,sdg13_co2gcp,sdg13_co2import,sdg13_co2export,sdg13_ecr,sdg14_cpma,sdg14_cleanwat,sdg14_fishstocks,sdg14_trawl,sdg14_discard,sdg14_biomar,sdg15_cpta,sdg15_cpfa,sdg15_redlist,sdg15_forchg,sdg15_biofrwter,sdg16_homicides,sdg16_detain,sdg16_safe,sdg16_prs,sdg16_u5reg,sdg16_cpi,sdg16_clabor,sdg16_weaponsexp,sdg16_rsf,sdg16_justice,sdg16_prison,sdg17_govex,sdg17_oda,sdg17_govrev,sdg17_cohaven,sdg17_secrecy,sdg17_sprofits,sdg17_statperf
CYP,Cyprus,E. Europe & C. Asia,1215588,0.06,0.08,,2.5,2.58,0.7,21.8,2.378,1.955,1.072,,0,6,1.6,2.8,5.7,1,8.19,20,5.75,83.14,7.8,98.3,86,79,6.3,,,,98.384,99.493,98.099,99.821,,,,,,98.374,81.682,19.643,,99.765,99.396,28.29,50,9197.385,,,100,100,1.243,8.701,-1.568,4.225,88.716,5.984,0.63,1.097,,,90.802,115.521,2.892,38.95,3.006,0.548,,,,,32.7,1.197,,,16.594,99.725,48,,1.759,16.796,17.752,6.474,6.698,8.509,5.747,,5.38,2.396,0,,49.636,58.74,54.34,25.055,23.08,0.294,72.309,36.573,0.991,0.018,1.282,1.24,31.884,,4.983,100,53,,0,19.85,0.684,,9.68,0.06,,71.129,,,80.781
CZE,Czech Republic,OECD,10724553,0.09,0.12,5.6,2.5,2.7,4.6,26,2.375,5.2,0.492,57.807,115.5,3,1.6,2.9,3.9,1,14.25,30,5.95,79.13,10.8,99.8,94,78,6.9,3.7,44,18.1,92.601,99.138,91.968,,33.002,495.333,16.854,18.765,85.7,96.899,76.057,22.5,12.373,99.881,99.133,24.19,60.75,2226.942,97.882,85.204,100,100,1.225,11.016,-0.22,2.881,80.992,2.29,0.751,0.688,74.4,10.584,81.339,92.509,3.465,32.85,2.317,1.93,7.825,5.423,36.08,35.568,25,0.84,8.2,0,15.269,99.903,77,2.16,1.367,15.705,20.282,4.244,19.994,7.617,7.621,0.896,8.215,1.624,455.431,30.073,,,,,,0.054,94.714,92.114,0.971,0.02,1.605,0.72,8.542,,4.856,100,54,0,0.676,23.38,0.65,196.909,10.652,0.133,,58.892,55.4,3.007,85.061
DNK,Denmark,OECD,5813302,0.16,0.2,6.4,2.5,2.58,0.7,19.7,2.494,4.946,0.375,74.074,99.274,4,2.5,3.6,4.9,0.02,10.77,13,3.7,81.32,2,95.3,94,85,7.7,2.1,17.6,16.9,96.544,99.316,103.617,,42.575,501,11.615,18.656,87.6,103.226,86.985,39.665,5.059,100,99.597,28.93,100,3552.897,96.731,91.889,100,100,0.933,35.805,0.833,1.627,99.917,4.265,0.948,1.395,74.425,11.686,96.549,138.028,3.959,59.733,5.176,3.033,14.889,56.086,9.764,34.249,28.2,0.92,3.6,0,9.645,100,73,16.128,2.331,22.392,11.656,10.227,31.208,13.939,7.445,1.129,4.522,4.051,784.137,45.365,86.987,52.62,35.727,29.101,3.576,0.077,88.821,99.48,0.974,0.013,1.685,0.95,34.464,,5.963,100,88,0,0.354,8.57,0.785,67.916,16.045,0.704,,51.704,45.325,6.103,86.117
DJI,Djibouti,Sub-Saharan Africa,1002197,12.09,31.34,,16.2,33.5,21.5,13.5,2.122,2.105,1.158,,,248,30.4,55.9,224,0.13,22.01,159,23.5,65.81,21,87.4,62,48,4.4,,,,14.866,66.515,49.816,,,,,,51.3,,38.751,26.154,,76.05,66.723,6.33,0,3888.039,,,61.276,9.5,5.836,,0.117,7.149,12.274,27.875,,0.125,,,59,23.625,2.792,0,0.035,,,,,,41.6,2.044,,65.6,47.422,99.112,61,,0.422,1.038,9.958,2.304,10.425,1.253,,,0.356,1.188,0,,0,51.71,,0,0.914,,0.81,0,0.805,,0.031,,35.801,,,91.7,30,,0,78.62,,,4.593,,,0,,,36.606
DMA,Dominica,LAC,72172,,,,5.6,,,27.9,2.204,1.629,1.095,,,,30,35.4,47,,,,,,47.1,100,92,,,,,,96.194,99.107,90.694,,,,,,,,,34.375,,95.421,80.366,10,0.956,,,,100,83.4,1.907,,-5.75,,,,0.567,,,,69.62,82.434,,0,0.292,,,,,,,,,,18.358,,,,0.508,7.927,,,,,,,1.934,,0,,0,58.93,,30.449,10.621,,33.334,,0.662,0.086,,20.84,58.108,,,,55,,0,,0.765,,8.518,,,0,,,
DOM,Dominican Republic,LAC,10953714,0.18,1.53,,8.3,7.1,2.4,27.6,2.244,3.067,1.047,,27.703,95,23.4,33.8,41,0.32,19.13,43,64.6,72.84,53.5,99.8,82,66,6,,,,98.576,95.89,85.318,98.839,,,,,81.7,106.024,64.342,27.895,,96.687,87.178,50.31,5.844,1316.83,,,100,91.3,1.259,10.977,-1.478,4.027,56.239,7.544,0.568,0.143,,,76.9,67.197,2.357,0,0.032,,,,,,41.9,2.256,,14.3,12.719,84.086,67,,1.083,6.445,15.185,1.42,9.963,1.302,1.656,,2.56,0.515,0,,81.387,50.53,2.55,0,0,0.081,76.921,95.45,0.73,0.386,0.18,8.86,60.313,,4.164,88,30,7,0.037,25.6,0.513,,6.705,,15.458,0,,,63.94
ECU,Ecuador,LAC,17888474,3.59,12.43,,12.4,23,3.7,19.9,2.328,3.936,0.998,,0.081,59,6.7,13,48,0.12,11.04,25,20.09,78.45,63.5,96,70,80,5.4,,,,83.712,98.62,102.322,98.767,,,,,79.4,97.753,67.003,39.416,,95.36,91.525,6.78,0,799.743,,,100,93.9,1.253,17.524,-6.478,2.431,51.246,6.128,0.587,0.138,,,64.6,53.736,2.722,20.817,0.313,0.443,,,,,45.7,2.493,,17.1,13.671,100,69,,0.895,5.741,14.167,0.806,11.171,1.339,0.406,,1.753,0.271,3296.811,,70.314,68.76,29.004,0,3.541,0.026,29.729,59.448,0.674,0.106,0.308,7.78,36.891,,3.706,82.1,36,,0.011,32.83,0.591,,8.964,,,0,,,72.95
EGY,"Egypt, Arab Rep.",MENA,104258327,1.93,22.35,,5.4,22.3,9.5,32,2.16,7.149,0.639,,,37,10.3,19.5,11,0.03,28.03,109,10.1,71.82,51.8,91.5,94,70,4,,,,36.72,99.273,88.418,88.193,,,,,80,83.951,23.029,27.411,,99.44,97.325,116.94,41.958,369.546,,,100,99.9,1.284,5.137,0.163,5.519,32.784,8.962,0.39,0.076,,,71.914,59.343,2.818,40.45,0.3,0.724,,,,,31.5,1.234,,3.1,91.278,98.824,64,,0.666,5.904,8.843,0.392,7.717,0.458,0.005,,2.086,0.122,206.502,,43.007,50.4,36.75,41.531,15.495,0.01,38.369,28.489,0.911,0.007,0.134,2.55,9.9,,5.21,99.4,33,4.79,0.002,56.17,0.479,,5.248,,20.989,0,,,74.071
SLV,El Salvador,LAC,6518500,0.71,6.08,,8.5,13.6,2.1,24.6,2.274,2.38,1.012,,81.609,46,6.2,12.9,55,0.13,10.67,42,20.87,75.03,69.7,99.9,71,76,6.4,,,,80.034,84.212,77.422,98.346,,,,,80,90.411,59.603,33.333,,97.947,82.45,13.21,0.07,1645.598,,,100,89.1,1.296,42.927,-4.971,2.547,30.353,5.783,0.516,0.393,,,54.601,60.623,2.249,0,0.016,0.165,,,,,38.8,1.719,,19.8,22.86,95.054,70,,0.731,5.546,7.387,1.26,7.763,3.306,1.393,,0.944,0.439,0.003,,46.559,44.22,38.5,28.56,21.91,0.19,28.046,97.727,0.805,0.131,1.836,37.16,29.504,,3.655,89.5,34,6.88,0,30.49,0.579,,7.934,,24.088,0,,,68.803
GNQ,Equatorial Guinea,Sub-Saharan Africa,1449891,,,,,26.2,3.1,8,,,0.99,,,301,28.7,78.5,280,1,22.14,178,27.17,62.19,176,68.3,53,43,,,,,43.981,44.697,24.197,97.967,,,,,20.7,55.263,84.978,21,,64.666,66.313,0.18,1.25,3523.499,,,66.592,23.9,5.152,6.058,-10.707,6.364,,8.936,,,,,26.24,0.59,1.875,0,0.01,,,,,,,,,66.1,59.02,48.115,,,0.447,,8.276,1.204,,,,,7.317,0.472,,,100,57.83,18.91,28.104,0.077,,99.997,,0.799,0.143,,,,,,53.5,17,,0,55.67,,,2.854,,18.502,0,,,
ERI,Eritrea,Sub-Saharan Africa,3601462,,,,,52.5,14.6,5,2.101,0.652,1.034,,,480,17.7,39.3,81,0.07,26.8,174,37.92,64.08,76,34.1,93,50,,,,,26.731,52.652,51.165,93.272,,,,,21,,82.286,22,,51.85,11.94,11.18,0,485.951,,,50.386,9.3,1.432,72.008,,93.029,,7.911,,0.016,,,1.309,0,1.863,0,0.02,0,,,,,,,,,52.077,69,,,0.62,0.556,1.992,0.042,17.167,0.29,,,0.204,0.018,0,,0,54.16,12.57,0,0,,13.337,0.025,0.891,,0.005,,,,,,22,,0,81.45,,,2.912,,,0,,,
EST,Estonia,OECD,1325188,0.01,0.03,14.9,2.5,1.2,1.5,21.2,2.47,2.625,0.619,40.851,2.263,9,0.9,2.1,10,0.16,14.9,25,4.46,78.88,9.6,99.1,91,78,6.6,4.01,46.6,17.9,93.171,97.507,100.912,99.949,43.146,525.333,7.232,8.758,80.1,107.087,81.533,28.713,17.318,99.591,99.142,17.41,69.6,4806,95.761,93.061,100,100,2.525,22.494,0.835,3.596,97.994,5.208,0.679,0.663,73.975,11.245,89.058,157.615,3.099,37.9,2.872,1.404,7.687,3.657,28.573,38.378,30.3,1.1,34.5,0,6.397,98.814,62,4.623,1.012,13.077,11.667,7.914,25.361,7.905,11.399,0.678,7.879,3.432,7.175,28.579,97.683,66.16,1.6,5.29,5.789,0.071,94.845,92.903,0.986,0.022,0.261,3.17,19.823,,5.507,100,74,0,0,15.25,0.703,187.606,10.247,0.169,,66.525,43.05,0.438,86.074
SWZ,Eswatini,Sub-Saharan Africa,1172369,32.24,49.44,,11.6,25.5,2,16.5,4,1.16,0.783,,0,437,20.3,46.6,319,5.28,35.24,137,33.47,57.73,87.1,88.3,76,58,4.4,,,,18.925,84.771,69.758,95.469,,,,,82.9,87.5,84.269,9.589,,70.753,64.292,77.56,5.286,,,,77.17,54.7,1.445,,-3.064,8.827,28.569,25.229,,0.613,,,30.3,17.42,,0,0.127,0.267,,,,,54.6,4.067,,32.7,16.724,93.069,64,,0.537,6.295,,,17.301,3.624,0.761,,0.824,,197.735,,,,,,,0.471,30.567,,0.812,0.064,1.669,11.56,32.628,,4.594,53.5,32,7.774,0,46.34,,,8.782,,,0,,,47.187
ETH,Ethiopia,Sub-Saharan Africa,117876226,5.79,26.56,,16.2,36.8,7.2,4.5,2.107,2.395,0.661,,0,401,27,48.7,132,0.12,17.1,144,28.16,68.7,79.5,27.7,60,38,4.5,,,,42.981,87.208,29.465,72.755,,,,,63.6,39.535,84.446,38.757,,49.616,8.91,32.26,0,75.169,,,48.272,6.6,0.94,89.552,-0.763,6.15,34.828,4.018,0.336,0.023,,,24,17.051,2.118,42.45,0.053,0.274,,,,,35,1.469,,66.2,39.793,87.883,51,,0.177,0.577,0.099,0.543,13.895,0.055,0.04,,0.128,0.204,0,,,,,,,0.001,18.103,16.174,0.849,0.082,0.013,8.79,,,3.269,2.7,39,45,0,33.63,0.447,,5.804,,7.788,0,,,53.599
FJI,Fiji,Oceania,902899,0.33,9.54,,5.6,7.5,6.3,30.2,2.198,3.002,1.179,,0,34,11.6,27.4,66,0.16,37.68,99,13.51,68.01,23.1,99.8,96,61,,,,,99.371,98.59,102.564,,,,,,64.9,101.852,50.354,19.608,,94.301,99.161,0.3,3.9,,,,100,49.6,2.408,,-7.615,,,4.888,,0.288,,,68.9,72.155,2.403,24.75,0.523,,,,,,36.7,1.58,,10.8,10.132,97.295,,,0.601,6.067,,,14.163,2.88,0.937,,1.554,,0,,16.548,73.48,8.96,0,10.975,0.291,11.178,0.128,0.698,0.028,0.026,2.23,25.904,,,,55,,0,27.92,,,7.563,,24.868,0,,,57.601
FIN,Finland,OECD,5548361,0.09,0.12,6.5,2.5,2.58,0.7,22.2,2.573,3.013,0.625,51.7,1.229,3,1.4,2.3,3.6,1,9.6,7,3.89,81.61,4.3,100,91,83,7.8,4.35,25.3,12,98.837,98.126,101.247,,44.666,516.333,10.48,12.887,90.2,103.175,87.742,46,17.16,100,99.448,15.56,100,3124.865,99.638,84.1,100,100,0.609,34.877,-0.23,1.654,99.785,6.755,0.856,0.906,71.175,10.768,92.17,154.912,4.003,54.517,3.933,2.756,14.958,49.194,9.239,27.4,27.3,0.95,7.2,0,5.542,100,63,8.757,1.547,19.818,26.558,7.348,15.878,9.907,2.177,0.874,7.091,2.684,0.102,33.526,60.672,70.11,3.12,0,0.211,0.071,71.697,75.808,0.99,0.005,1.973,1.64,21.46,,6.599,100,88,0,0.599,6.99,0.705,53.234,13.607,0.472,,55.032,52.125,5.226,88.478
FRA,France,OECD,65426177,0.16,0.2,8.4,2.5,2.58,0.7,21.6,2.477,6.885,0.387,74.987,5.626,8,2.6,4.4,8.2,1,10.58,10,5.13,82.48,8.6,98.1,90,84,6.7,8.7,14.4,24,99.916,99.995,99.456,,49.449,493.667,20.108,20.5,95.5,96.581,86.09,39.515,11.824,100,98.648,23.64,88,2875.167,99.249,78.588,100,100,0.563,10.613,-0.576,2.009,94.004,7.541,0.782,1.719,66.1,15.03,84.8,96.991,3.997,67,1.729,2.193,11.048,28.506,20.697,31.806,32.4,1.08,4.4,0,11.194,100,63,5.304,1.546,20.954,6.934,6.148,22.838,12.827,6.189,0.804,4.238,2.465,1.271,54.996,81.89,49.14,21.01,16.161,13.198,0.443,80.948,77.979,0.836,0.017,7.095,1.32,29.83,,5.294,100,71,0,3.522,22.6,0.653,108.477,13.741,0.518,,55.702,49.9,46.697,86.348
GAB,Gabon,Sub-Saharan Africa,2278829,3.34,14.2,,15.7,17,3.4,15,2.21,1.6,1.025,,,252,19.7,41.7,527,0.48,21.33,76,23.86,66.47,91,89.3,53,49,5.1,,,,,,59.268,89.784,,,,,44,81.25,68.434,14.789,,85.342,49.824,0.5,0,1536.502,,,90.685,87.9,1.696,80.834,-3.757,4.83,58.602,21.814,,0.198,,,62,94.3,2.092,0,0.085,0.579,,,,,38,1.649,,36.5,47.537,88.915,34,,,8.666,9.098,0.836,2.777,3.17,,,1.931,0.353,,,63.7,63.72,69.58,41.615,0.676,0.058,60.419,93.608,0.953,0.05,2.456,,80.183,,3.5,89.6,31,19.597,0,38.6,,,4.437,,19.407,0,,,28.055
GMB,"Gambia, The",Sub-Saharan Africa,2486937,6.49,28.87,,13.6,17.5,6,10.3,2.264,0.841,0.864,,5.963,597,25.7,49.4,157,0.93,21.09,237,29.62,65.47,67.5,82.7,85,48,5.2,,,,57.771,87.157,57.582,67.161,,,,,39.7,71.739,73.109,8.621,,80.94,46.871,2.21,0.013,1191.737,,,59.921,1.4,2.168,,-3.792,5.799,,10.96,0.493,0.036,,,36.5,41.601,1.819,0,0.095,0.071,,,,,35.9,1.511,,24.3,35.409,83.881,43,,0.377,1.224,1.323,0.189,5.313,0.47,,,0.207,0.075,0,,40.299,50.31,,4.214,0.072,,41.707,99.018,0.979,0.228,0.015,,,,4.462,57.9,37,16.86,0,30.76,0.488,,3.917,,,47.991,,,44.019
GEO,Georgia,E. Europe & C. Asia,3979773,1.44,7.58,,8.7,5.8,0.6,21.7,2.33,2.536,1.091,,,25,5,9.3,70,0.17,24.89,102,12.41,73.28,29.4,99.4,88,65,4.9,,,,47.816,99.377,111.964,99.704,,,,,50.5,100.763,73.345,20.667,,97.348,85.767,4.21,46.64,1789.22,,,100,88.2,0.731,20.428,-1.318,4.334,61.23,11.791,0.565,0.312,,,72.532,79.797,2.382,16.45,0.478,0.281,,,,,35.9,1.528,,34.1,21.709,96.414,70,,0.545,7.272,4.792,1.469,8.874,3.062,0.229,,2.499,0.558,14.095,,35.637,55.2,,5.298,8.094,0.005,40.319,38.946,0.888,0,0.659,1.93,18.532,,5.259,98.5,55,1.6,0.163,28.64,0.636,,6.556,,24.862,0,,,80.06
DEU,Germany,OECD,83900471,0.24,0.31,9.8,2.5,1.7,0.3,22.3,2.437,6.22,0.508,77.198,4.346,7,2.2,3.7,5.5,0.03,12.05,16,3.78,81.72,7.2,98.8,93,86,6.8,5.7,30.9,18.8,97.025,99.013,98.862,,34.877,500.333,18.635,19.601,87.7,96.528,85.419,31.171,13.895,100,99.226,33.5,97,3304.106,99.993,97.125,100,100,1.101,15.019,-1.013,2.04,99.141,3.156,0.842,1.553,76.156,8.235,89.813,86.519,4.374,75.933,2.083,3.133,9.959,55.326,12.354,27.556,31.9,1.05,9.1,0,11.281,100,64,4.154,1.661,19.369,11.157,7.873,13.494,15.911,10.007,0.554,7.69,3.021,176.22,40.784,77.001,51.03,25.62,18.818,8.039,0.282,78.712,78.822,0.982,0.001,5.746,0.93,23.083,,5.233,100,80,0,1.845,15.24,0.784,75.609,14.085,0.741,,52.338,51.725,83.225,87.498
GHA,Ghana,Sub-Saharan Africa,31732128,9.65,23.09,,6.1,17.5,6.8,10.9,2.077,1.864,0.795,,4.068,308,22.9,44.7,143,0.63,22.47,204,25.67,66.28,78,78.1,88,45,4.4,,,,93.264,94.016,78.177,92.491,,,,,40.4,81.481,89.679,13.091,,85.791,23.702,6.31,0,472.452,,,83.5,22.6,1.001,43.324,-1.653,4.836,57.718,4.521,0.563,0.051,,,58,99.9,2.443,32.183,0.135,0.377,,,,,43.5,2.252,,29.2,40.093,41.07,51,,0.444,1.753,2.117,0.77,4.49,0.265,0.014,,0.515,0.252,639.74,,19.56,36.33,44.05,7.397,25.673,0.004,68.875,80.512,0.839,1.059,0.017,2.09,12.03,,4.066,70.6,43,20.1,0,21.33,0.567,,5.38,,14.695,49.492,,,61.996
GRC,Greece,OECD,10370747,0.29,0.6,11.5,2.5,1.5,0.6,24.9,2.382,3.799,0.638,50.574,20.795,3,2.4,4.1,4.5,0.09,12.48,28,8.31,81.1,8.6,99.9,97,78,6.1,2.9,9.5,24.9,96.662,99.107,93.946,99.16,43.685,453.333,10.93,31.736,66.1,95.37,73.67,21.667,8.914,100,98.994,20.48,81.664,3365.421,100,91.719,100,100,1.469,12.777,-3.827,7.914,85.467,14.757,0.565,0.894,53.675,18.745,78.116,87.101,3.172,43.317,1.931,1.177,8.559,1.735,41.722,40.088,32.9,1.14,7.2,0,15.387,100,43,14.194,1.469,16.941,27.813,4.961,15.13,11.757,5.113,1.16,5.011,1.458,40.945,46.823,85.518,58.8,62.477,37.289,10.383,0.185,86.031,90.408,0.834,0,2.902,0.75,26.554,,4.244,100,49,0,0.225,29.01,0.636,103.987,7.366,0.122,,39.057,51.475,2.165,85.361
GRD,Grenada,LAC,113015,,,,,,,21.3,2.303,1.006,0.978,,,25,10.9,16.4,2.8,,23.35,45,7.96,72.88,35.9,100,72,70,,,,,97.243,99.236,106.68,99.2,,,,,77.3,,,46.667,,95.629,91.494,7.05,0.938,,,,95.429,89.1,1.415,,-5.819,,,,0.692,,,,56.9,82.657,,0,2.222,,,,,,,,,,21.426,,,,0.753,8.757,,,,,0.438,,2.62,,0,,30.206,59.97,,0,0.492,,34.45,,0.683,0.087,,14.29,10.55,,,,53,,0,,0.594,,5.608,,,0,,,
GTM,Guatemala,LAC,18249868,6.49,19.51,,16.8,46.7,0.8,21.2,2.221,2.16,0.987,,431.454,95,11.1,23.6,27,0.05,16.47,74,22.9,72.02,77.4,69.8,83,57,6.3,,,,82.537,89.445,56.22,94.604,,,,,66.1,98.507,46.031,19.375,,94.006,67.929,5.74,6.8,1125.089,,,95.725,48.8,1.177,62.076,-2.777,2.922,44.107,3.486,0.388,0.109,,,49.97,16.534,2.196,0,0.022,0.029,,,,,48.3,2.908,,31,22.055,88.528,73,,0.465,4.282,4.787,0.844,11.065,1.128,0.505,,1.057,0.289,38.527,,48.69,31.97,8.57,24.426,11.6,0.074,29.981,24.819,0.715,0.739,0.487,26.04,45.326,,4.193,96.4,25,,0,38.45,0.337,,5.687,,11.185,0,,,61.033
GIN,Guinea,Sub-Saharan Africa,13497237,38.7,72.69,,,30.3,9.2,7.7,2.091,1.187,0.869,,,576,29.9,95.6,179,0.42,24.9,243,29.66,61.01,120,55.3,47,37,4.9,,,,47.262,85.536,33.161,53.941,,,,,37.7,35.714,99.291,16.667,,63.962,29.776,1.37,0,500.6,,,42.418,1.6,1.674,,-1.486,7.796,23.486,6.193,0.555,0.028,,,26,23.166,1.556,0,0.011,0,,,,,33.7,1.333,,50.7,27.147,53.691,33,,,0.797,1.261,0.371,12.681,0.195,,,0.258,0.137,0,,69.281,44.05,11.75,25.361,25.415,0,69.791,90.419,0.893,1.443,0.012,,65.625,,3.663,62,25,24.188,0,35.42,0.459,,3.097,,,0,,,45.875
GNB,Guinea-Bissau,Sub-Saharan Africa,2015490,65.39,84.22,,,28.1,7.8,9.5,2.106,1.312,0.974,,,667,35.1,76.8,361,0.88,24.85,215,32.23,60.22,84,45,72,37,,,,,28.722,72.668,36.792,60.402,,,,,60,,81.388,13.725,,59.017,18.225,1.5,0,,,,31.04,1.1,4.524,,-6.651,7.457,,6.63,,,,,22.9,36.709,1.78,0,0.029,0,,,,,50.7,3.281,,78.2,32.238,55.47,,,0.457,0.545,,,,,,,0.146,,0,,50.682,56.42,3.26,0,0.298,,59.482,,0.919,0.751,,1.15,55.537,,,46,21,17.2,0,32.68,,,3.48,,12.394,0,,,33.403
GUY,Guyana,LAC,790329,2.37,4.58,,5.2,11.3,6.4,20.2,2.222,5.689,0.714,,0,169,17.3,28.4,79,0.43,29.19,108,22.34,65.69,73.7,95.8,98,74,6,,,,95.154,98.207,79.084,96.69,,,,,51.5,111.25,62.317,35.714,,95.555,85.783,3.3,0,,,,92.022,76.8,2.091,,13.647,2.586,,14.933,0.574,10.995,,,37.326,31.683,2.089,0,0.086,,,,,,,,,32.5,21.459,86.806,72,,0.655,6.334,,,15.484,77.129,0,,2.813,,3436.6,,,75.01,34.49,0,22.246,5.375,3.907,,0.875,0.042,47.195,19.96,35.921,,,88.7,39,10.84,0,25.61,0.573,,7.382,,,0,,,41.49
HTI,Haiti,LAC,11541683,21.82,45.99,,46.8,21.9,3.7,22.7,2.083,1.121,0.941,,,480,24.8,60.5,168,0.45,31.34,184,18.77,64.05,54.8,41.6,51,47,3.6,,,,,,,82.994,,,,,45.4,65.152,87.463,2.542,,66.695,37.122,13.38,0,337.961,,,45.371,4.3,3.473,77.591,-6.935,5.551,32.621,15.432,0.481,0.016,,,34.5,27.176,1.945,0,0.011,,,,,,41.1,1.975,,77.8,15.27,15.318,30,,0.592,,1.972,0.268,8.62,0.189,,,0.256,0.101,0,,29.342,41.91,7.69,0,0,0.003,29.41,0,0.717,0.264,0.005,6.68,66.753,,2.386,84.8,20,35.502,0,31.12,0.449,,2.203,,,0,,,37.516
HND,Honduras,LAC,10062994,16.76,29.51,,13.5,22.6,1.4,21.4,2.288,1.837,1.039,,31.192,65,8.8,16.2,30,0.07,18.68,61,16.13,71.94,88.7,74,80,63,6.1,,,,75.762,84.021,43.175,96.084,,,,,76,101.538,52.982,21.094,,95.689,83.777,4.62,3.15,1485.277,,,92.78,44.9,0.986,47.536,-6.323,3.385,45.343,8.352,0.473,0.174,,,42.05,45.102,2.473,0,0.035,0.04,,,,,48.2,3.76,,40.5,18.844,96.68,73,,0.639,2.587,8.832,0.892,6.695,1.495,0.324,,0.975,0.332,0,,41.013,59.24,13.59,0.712,15.434,0.136,72.343,99.447,0.741,0.755,0.618,36.33,54.115,,3.293,93.6,23,,0,49.35,0.455,,7.766,,23.363,0,,,61.176
HUN,Hungary,OECD,9634162,0.43,0.61,9.2,2.5,2.58,0.7,26.4,2.418,6.262,0.353,64.105,4.729,12,2.1,4,4.6,1,22.13,39,7.74,76.44,22,99.7,99,73,6.2,4.2,24.2,24.9,93.182,94.533,93.736,98.8,30.689,479.333,21.165,24.104,79.9,96.721,73.186,12.06,9.927,100,97.984,7.65,53.76,1437.177,92.589,87.78,100,100,1.463,10.566,0.924,3.67,74.945,3.787,0.661,0.384,71.95,14.322,84.771,71.892,3.271,37.9,1.26,1.533,8.33,5.016,38.338,31.68,29.6,1.02,13.2,0,15.141,100,61,8.179,1.07,13.615,11.982,3.218,20.511,3.302,0,0.686,4.997,1.819,437.288,35.008,,,,,,0.028,82.807,84.836,0.865,0.01,0.438,0.83,16.491,,3.928,100,43,0,0,31.76,0.507,172.066,8.944,0.287,,69.098,53.8,6.266,84.834
ISL,Iceland,OECD,343360,0.09,0.11,4.9,2.5,2.58,0.7,21.9,2.583,2.6,0.638,,,4,1,1.9,2.8,0.04,8.65,9,2.05,82.33,5.3,98.2,93,87,7.6,0.6,20.1,7.3,95.014,99.795,101.039,,38.304,481.333,8.922,24.984,,96.923,88.954,38.095,12.901,100,98.781,0.39,15.483,15785.389,100,83.688,100,100,0.105,88.917,-3.235,2.114,,3.675,,1.794,80.3,9.435,99,123.232,3.186,44.75,5.093,2.041,10.422,8.775,4.915,35.23,26.1,0.87,3.1,0,6.122,100,59,16.195,1.846,21.405,29.399,13.142,22.959,12.717,23.509,1.376,8.604,5.621,0,56.972,15.209,79.45,27.09,25.987,2.768,,19.08,35.853,0.866,,0.425,1.47,7.353,,5.905,100,74,0,0,15.37,,40.391,14.735,0.278,,0,57.375,0.595,77.833
IND,India,East & South Asia,1393409033,5.91,35.7,,15.3,34.7,17.3,3.9,2.236,3.248,0.888,,0.476,145,20.3,32.6,188,0.04,21.85,184,15.56,70.79,12.2,81.4,85,61,3.6,,,,85.244,94.627,84.582,91.664,,,,,72.8,62.069,26.794,14.365,,90.49,71.268,66.49,2.246,97.439,,,97.815,64.2,1.656,23.135,-3.606,6.103,79.875,5.384,0.493,0.101,,,43,47.043,2.905,45.717,0.139,0.653,,,,,35.7,3.09,,34.8,90.619,65.945,68,,0.384,2.389,7.633,0.235,7.965,0.437,0.002,,1.769,0.08,1.382,,19.177,29.48,7.427,54.944,4.863,0.005,20.719,18.918,0.671,0.044,0.131,2.95,69.053,,3.716,79.7,40,,0.005,46.56,0.386,,4.439,,13.197,0,,,70.367
