Country,2022 SDG Index Score,2022 SDG Index Rank,International Spillovers Score (0-100),International Spillovers Rank,Region,SDG1: No Poverty,,SDG2: No Hunger,,SDG3: Good Health and Well-Being,,SDG4: Quality Education,,SDG5: Gender Equality,,SDG6: Clean Water and Sanitation,,SDG7: Affordable and Clean Energy,,SDG8: Decent Work and Economic Growth,,"SDG9: Industry, Innovation and Infrastructure",,SDG10: Reduced Inequalities,,SDG11: Sustainable Cities and Communities,,SDG12: Responsible Consumption and Production,,SDG13: Climate Action,,SDG14: Life Below Water,,SDG15: Life on Land,,"SDG16: Peace, Justice and Strong Institutions",,SDG17: Partnerships for the Goals,
Belarus,76.0,34,84.5,114,E. Europe & C. Asia,green,↑,orange,➚,orange,➚,green,↑,yellow,↑,orange,➚,red,➚,red,➚,orange,➚,green,↑,orange,➚,orange,➚,red,→,grey,,red,➚,orange,➚,yellow,➚
Serbia,75.9,35,85.6,110,E. Europe & C. Asia,green,↑,orange,➚,orange,➚,green,↑,orange,➚,orange,↑,orange,→,orange,➚,orange,➚,orange,↑,orange,➚,orange,➚,orange,↓,grey,,red,➚,orange,➚,yellow,➚
Luxembourg,75.7,36,35.6,162,OECD,yellow,↑,red,➚,yellow,➚,orange,→,yellow,➚,orange,↑,red,➚,orange,➚,orange,→,yellow,→,yellow,↑,red,→,red,➚,grey,,red,→,yellow,➚,red,➚
Ukraine,75.7,37,96.0,66,E. Europe & C. Asia,green,↑,orange,➚,orange,➚,orange,,orange,➚,orange,➚,orange,➚,orange,➚,orange,➚,green,↑,orange,→,yellow,↑,yellow,➚,red,➚,red,➚,red,➚,yellow,➚
Australia,75.6,38,64.9,141,OECD,yellow,➚,red,→,orange,➚,yellow,➚,yellow,➚,yellow,➚,orange,➚,orange,→,orange,➚,orange,↓,yellow,➚,red,↓,red,→,orange,➚,red,→,yellow,➚,orange,➚
Lithuania,75.4,39,58.2,153,OECD,yellow,➚,red,→,orange,➚,yellow,➚,orange,➚,orange,↑,orange,➚,yellow,↑,red,➚,red,→,yellow,➚,red,→,red,↓,orange,→,green,↑,orange,↑,orange,→
Cuba,74.7,40,97.0,58,LAC,grey,,orange,➚,orange,➚,yellow,➚,yellow,→,orange,➚,yellow,↑,green,↑,red,➚,grey,,orange,➚,yellow,↑,green,↑,orange,→,red,➚,red,→,grey,
United States,74.6,41,64.4,142,OECD,orange,➚,red,→,orange,➚,yellow,➚,orange,➚,yellow,↑,orange,➚,orange,➚,yellow,↑,red,↓,yellow,➚,red,↓,red,→,orange,→,red,→,red,➚,red,➚
Bulgaria,74.3,42,88.2,105,E. Europe & C. Asia,green,↑,orange,➚,orange,➚,orange,↓,yellow,➚,orange,➚,yellow,➚,yellow,➚,orange,➚,red,↓,orange,➚,orange,→,orange,→,red,➚,yellow,↑,orange,➚,yellow,➚
Cyprus,74.2,43,63.0,144,E. Europe & C. Asia,green,↑,orange,→,orange,➚,green,↑,yellow,➚,orange,↑,orange,➚,yellow,↑,orange,➚,yellow,↑,orange,➚,red,➚,red,→,red,➚,orange,➚,yellow,➚,red,➚
